,,
No,Nama Pengguna ,Comment
163,@sampurna26purna-sl3ks,Jeffri seharusnya menang banyak anggota dari El jadi disuap
164,@savanian,Lucu lucuan anak gedongan....
165,@semutireng8332,Jefri power dan pukulan good tapi jarang in dan buang2 tenaga El teknik pukulan masih gaya tarung bebas dan kurang power tapi sering hit masuk dan kebantj badannya yg gede Harus diperbaiki teknik pukulannya kalau tekniknya baik yakin sih jefri bisa di TKO el... Gimanaoun dalam bela diri postur berat pengaruhnya gede Btw si jefri biar intropeksi jangan kebanyakan gaya sok nantangin orang2 gk terlatih giliran ketemu lawannya mewek dipojokan ini baru el si anak mama Bayangin musuhnya rendy panggalila atau level atlit beneran macam crisjohn dkk jadi ayam geprek si nicole
166,@smsun1030,Pantesan artur beterbiev di juluki monsterðŸ˜‚â¤
167,@subscribebos,Strategi el rumi bagus simpen tenaga di akhir ronde nichole tabrakk terusss  yg akhirnya habis tenaga di akhir ronde babak 3 dan 4 banyak yg ngelose punch nya ðŸŽ‰ðŸŽ‰ðŸŽ‰
168,@Sunsun-pg6qj,Konten. Orang bodoh saja yang se7 dengan kemenangan itu. Jelas2 nikol yang lebih banyak masuk pukulan nya.   Jangan di tonton lagi acara seperti ini
169,@tancispandiangan1746,Agak lainnm
170,@tandanielwijaya3047,Curang menurut saya jefri lebih banyak memukul telak... Ga masuk akal ini permainan
171,@taubatchannel1525,Seharusnya pelindung kepala dibuat lebih tebal lagi..dari bata ringan misalnya
172,@teguhriyadi-rq6lo,Pdhl bgus jefri mainy.tpi mlh mnang el . aneh
173,@tonyliong9518,Andaikan kalian berdua lawan Floyd Mayweather apa yang terjadi
174,@tonymlong1081,ego yang tinggi ternyata akan terjerumus kekalahanresiko jefri sebenernyA udh bisa ko tetapi elrumi udh terllu lelah ketika jefri goyang dn menunuduk di menit terakhir kalo el rumi bisa memanfaatkan moment ituko sudah
175,@TutiRahmadaniBoruPurba-ut3nr,Mencengangkan. Bingung saya. Aneeeehhh..ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
176,@ujangtea5890,laki banget dh rumi
177,@umaralpharidi5030,Jadwalkan Juga sparing artis Wanita ...  Nikita Mirzani Vs Dewi persik ..
178,@user-bl9ig2rn5k,Acara bagus ini...terbaru bikin musim nichðŸ˜Š
179,@user-bo2oc7wc9o,Adu tinju pake pelindung kepalaðŸ˜‚ lebih asik by one di lapangan belakang sekolah... BebasðŸ˜‚
180,@user-bo5rq4uj2x,Jefry menang banyak di ronde 1 dan 2
181,@user-bx5cz6vy4h,Sengaja kalik kalah jefry
182,@user-cn8vi5hi7u,Jlas bgt el kalah hakim g adil
183,@user-cv7qm7ld8m,Lawan rodtang aja biar seru wkwkwk
184,@user-ds3yd2dw9d,Saran saya.... Para artis ini klo mau tunjukin kekuatan nya.. ikuti aja pencak dor. Lebih keliatan skilnya
185,@user-gg3uq6xl7w,Wasit nyaa ajng
186,@user-og5hn5rl5h,Pukulan jauh bnyk jefri  tapi pukulnya banyk ke badan dan kena angin
187,@user-ti7tt8bj3m,LucunyaðŸ˜‚ðŸ˜‚ðŸ˜‚
188,@user-tm6ir8wy4d,Dominan tarungan D bang jefri.. eh trnyata malah k balik yg menang el..hadeh
189,@user-tp4oz6yo5e,Ah curang seharusnya Jefri menang
190,@user-ts5il3cb6z,Sebenarnya pukulan JN lebih mengena dan terarah.dr awal .ada satu ronde yg draw
191,@user-wf1jj1jy4f,tinju gk jelas
192,@user-xc9xj4ki2y,Ko bisa el menang ðŸ˜…ðŸ˜…
193,@user-xo4rb2lh6x,Kocak ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…
194,@usmandoni6272,Pukulannya Jefri power bgt
195,@utramenribut123,Pertandingan yang penuh dengan sogokan
196,@victorandodachi5918,Namanya jg indonesia pdhl yg banyak pukulan itu jefri ke el. Sabar ya jefri.  Hi kenalin dong sy victorando sy ingin melawan el itu. Blh dong ekspose sy kesana. Bantu ya yg bisa dukung sy.
197,@WarnerBrosAceh-ie4lf,2 idiot sudah bertarungðŸ˜‚ðŸ˜‚
198,@zahrakirana2933,Hahahaha habis nafas petinju sempoyongan
199,@zavierisatanick,tehnik menang jefri penguasaan panggung jefri.cuma kurang power dan menyerang
200,@zunaidin,Wasit tolol pecundang curangjelas jelas pukulan jefri banyak masuk..malah el yang banyak pointðŸ˜‚ðŸ˜‚ðŸ˜…indonesia tolol
201,@komenmania,"Diliat dr pertandingannya jefri nikol sering lakuin pelanggaran mungkin itu pengurangan poin di ronde 1 dan 2, sedangkan di ronde ke 3 dan 4 elrumi dominasi"
202,@user-zo5wv9xu7t,"😅😂 COBA BUKA MATA LEBAR-LEBAR, PLOTOTIN, KALO PERLU DI LOW SPEED, LIAT DARI AWAL HINGGA AKHIR, DI ROUND 1 & 2 EMANG SI NICOL LEBIH DOMINAN (BANYAK NYERANH) TPI BANYAK NYERANG BUKAN BERARTI SEMUA SERANGANNYA MASUK.?! INI HARUS PENONTON DAN FANS PAHAMI, DARI BANYAK SERANGAN NICOL 70% ITU GAK MASUK GANTUNG, KADANG CUMA SEPERTI NYEREMPET DIKIT DOANG, KADANG KE BLOCK SAMA TANGAN DLL SEMENTARA SERANGAN EL RUMI WALAUPUN POWERNYA KECIL TAPI MASUK TERUS, INI KARENA JANGKAUAN SERANGANYA LUAS (FAKTOR FISIK YG TINGGI & PANJANGNYA TANGAN).

DI RONDE 3 & 4 EL RUMI MENDOMINASI BANYAK SERANGAN YG MASUK TELAK KE NICOL..

DARI SITU AJA KITA UDAH BISA KASIH SKOR"
203,@mushlee7816,Tinjunya aj grasa grusu gk jlas sma aja kya fansnya grasa grusu..wkwkwk
204,@user-up3bs7fs8h,"Penonton asal nonton aja,lu pikir tinju asal pukul2 aja,KLU dliat pukulan nya Dri ronde 1 ronde 2 emang gk trima Nichol kalah,ronde 3 ronde 4 perhatikan pukulan el lebih banyak masuk gk bnyak melanggar"
205,@hfbsecret6641,"Jefri aja mngakuai kekalahannya kok banyak yg berspekulasi kalau jefri yg menang,😂"
206,@rezawishingboy92,"Jelas jefri yg menang lah, aneh"
207,@user-un5ww8mw6u,Pukulan jefri banyak tidak kena. Sedangkan ronde 3 dan 4 jefri udah lemas.
208,@sunartoNarto-de8cx,Semmuannya juga tauu untuk power lbih kuat jefri
209,@sunartoNarto-de8cx,"Tp disiitu malaah jefri bnyak yg nantangin boxing haarusnya el yg menang kann yg ditantang,brrti dissiitu semuaannya meelihaat power jefri lebih kuatt drpada el"
210,@user-mu2ei4ts1h,"Yang ngomongin duit di atas segalanya??
Udah udah weh santai aja 😂😂
Gua kemarin punya duit banyak terus dipake buat judi online aih akhirnya gua kalah 🙄🙄 tau gak yang gua salahin itu siapa???
Si zeus broo 🤣🤣🤣
El rumi mantap men 👍👍👍"
211,@babon5873,next el rumi vs paris hehe
212,@fudinamah2296,"Coba aja kalo tidak pake pelindung kepala, el udah tumbng di ronde 1."
213,@SruntulersCS,https://youtube.com/@SruntulersCS?si=OJdotD7i1HJSBQCR
214,@merah8003,"Abidzar vs Al Ghazali
#abidzar #alghazali
KASIH PAHAM AL..!!!"
215,@endasdasuki1548,Liat lg aja video nya bos
216,@BudiYanto-hz8jx,Jelas gak adil
217,@arditaputra2153,"Ya  bener pak ahmad dani sih..
Kalo di terusin bisa TKO tuh... Anak nya😅😂"
218,@user-cu5tr2yt2v,Jurine ntok amplop kok🤭
219,@MaulanaAlparizi-cq3oq,Ulang lagi jgn pake pelindung muka
220,@gilangwahyugumelar2115,Voice offer lu nyebelin AKWAOKWAOKWWOAK
221,@arihendarisman3101,"""org buta juga tau"" kebetulan temen gue maaf tunanetra, terus gue tanya, dia jawab ""gak tau"""
222,@idatrimawati8821,"Jefri nicol mainnya ngawur penuh emosi ,El Rumi mainnya bersih .."
223,@sfamwolowers4640,Dah jelas jelas Jefri itu banyak yg engk kenak pukulannya 😂
224,@datuksyahbandarutama1364,Jelas El pemenangnya
225,@user-pv9li3we8z,Tarung ulang lah. Satu indonesia juga bisa nilay. Kalo itu gak sah. Kalo gua jadi EL ulang si. Biar gak di bilang menang suap
226,@bobhubscher1845,Pukulan El masuk point semua boss Jefri banyak gak masuk point
227,@fajrirahmat9078,Cuma ronde 4 mendominasi bisa menag el.. kwkwkw ngantuk juri nya bg..😂😂
