,,
No,Nama Pengguna ,Comment
480,@RMA789_NIH.BESTIE,"☝☝☝Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk"
481,@coyyyous,"Jefri terlalu brutal hingga membuat staminanya habis , sementara El mampu menjaga staminanya, didalam boxing, stamina itu sangat diperlukan @𝐑𝐌𝐀𝟕𝟖𝟗"
482,@naraaa-,"Diluar ekspektasi ternyata Jefri Nichole setamina Habis hingga ronde 4 babak belur ... Pentingnya strategi agar tak terkuras tenaga. El lebih bisa mengontrol stamina. Sebenarnya pukulan lebih kuat Jefri tapi El lebih cerdik. Pantas kalo El yg menang, ternyata kuat saja belum jaminan utk menang. @𝐑𝐌𝐀𝟕𝟖𝟗"
483,@RMA789-jy8mk,"Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. Pukulannya asal melayang tanpa ada poin yg masuk.𝐑𝐌𝐀𝟕𝟖𝟗"
484,@southyeolsel,"Buat petarung jalanan, Jefri dianggap menang. Tapi, jika sudut pandang sport, El pantas menang. Karena sport itu butuh taktik, bukan grabak grubuk @𝐑𝐌𝐀𝟕𝟖𝟗"
485,@epinluneto,"yaelahhh🤦‍♂️
fikir² aja dlu mau lawan Randi Pangalila, atw mendingan jngan deh kasihan Jefri nya, dibikin samsak nnti"
486,@RMA789-zf9nt,Tatapan Al ke El sehabis ronde ke empat bikin terenyuh😢 dia seperti nahan nangis liat adeknya😢 sweet banget persaudaraan mereka❤😫𝐑𝐌𝐀𝟕𝟖𝟗
487,@RMA789.TERBA1KK,"~Kesalahan Jefri ini cuma satu, dia gegabah. Terlalu membabi buta di awal tanpa memikirkan stamina sampai akhir ronde. @𝐑𝐌𝐀𝟕𝟖𝟗"
488,@RMA789.SIGACOR,~TETAPLAH semangat bosku ngontennya! Semoga membantu para viewers untuk semangat terus dalam berkaryaa!!! 🎯𝐑𝐌𝐀𝟕𝟖𝟗
489,@S1TUS.RMA789,~Semangat buat kontennyaa bang aku sangat terhibur saat nonton video abang... Oh iya beneran baguus tuh!! @𝐑𝐌𝐀𝟕𝟖𝟗
490,@MAXW1N-RMA789,☝~MANTAP BANGET INI BANG. BAGIAN TERHEBAT YANG HARUS KAMU COBA! @𝐑𝐌𝐀𝟕𝟖𝟗
491,@pamanahrasa6439,Kje ngapain ada di ring? Dia gak tanding kan? Ko so sibuk bener dah.. Caper banget perasaan
492,@sahrildompu6112,"Vix ini curang sihhh,,,harusnya Jefri yg menang,,,,"
493,@yunifatresia6389,Yg topi hitam udah bang udaah
494,@Realme12-ik5gj,Ga sesuai harapan hasilnya
495,@user-kv5ts6lz1j,Di luar point yg dilihat..🤣🤣
496,@ikafitria7251,Jefri tetap di hati.
497,@LisensiafniSimamora-wb4bm,El kalau berani lawan Azka dong
498,@teguhperwiranegara4849,"Inti nya kalah.., yg kalah malah banyak alasan.. toh kedua nya sama² pake headguard. Sama² terbatas

Intinya menang., klo d luar ring beda crita ..hrusnya ngaku kalah terbuka dan tantang ulang d ring."
499,@flankboy7791,"Jefri nichol boleh kalah sama anak mami, tapi satu indonesia ga bisa di bohongi 👏"
500,@ramdhanirama9951,Kalo si botak lawan Jefri auto bonyok
